50, 293
ADDIS ABABA, 8.861025335639155, 39.50537516887898
ALGIERS, 28.071329408686463, 2.1631285657479906
ALMATY, 48.24279848921162, 67.79327793954229
AMMAN, 31.300644889231375, 36.795302600219095
ANKARA, 39.001436189345334, 35.56019743456814
ANTANANARIVO, -20.980895548102055, 46.162390749439716
BAGHDAD, 33.084923954772904, 42.934371089972885
BAMAKO, 17.788257508917084, -1.8012479227406835
BEIJING, 35.06312309028558, 102.8980057399565
BRASÍLIA, -7.833409450284335, -56.39221015402433
BUENOS AIRES, -34.62992603781776, -65.85159172404963
CAIRO, 26.65832892926017, 29.791223934273443
CANBERRA, -25.159442990175073, 134.25447073657324
DAMASCUS, 34.834806201676265, 38.13243805043771
HELSINKI, 62.08645544753247, 26.460181134115263
ISLAMABAD, 30.125540024993924, 69.0494124473398
JAKARTA, -4.337974871005969, 121.93055225219959
JERUSALEM, 31.769158121457508, 35.22068020617379
KHARTOUM, 16.41547853425355, 30.18205452662457
KUALA LUMPUR, 3.755265591402299, 101.85695829737278
KYIV, 49.003691778292996, 31.337897345112804
LIMA, -10.51602067874422, -75.54973833922863
LISBON, 39.65369433229986, -8.767538745795122
LONDON, 55.10796585105442, -2.7668063935941536
MADRID, 39.564937110430066, -3.0014083554914928
MOGADISHU, 2.7982229415926887, 44.82701176775603
MOSCOW, 62.5156275437797, 92.96150614787261
MUSCAT, 20.668775208072233, 56.14452782431262
NEW DELHI, 23.192133381995617, 80.32989958696272
NIAMEY, 17.46219460298736, 9.216352519377004
NOUAKCHOTT, 20.42506866527749, -10.365138335501841
NUUK, 66.29769098551492, -46.10776053878598
OSLO, 61.61285751413713, 9.301932051774862
OTTAWA, 57.70229070007992, -101.80221873516481
PARIS, 46.51600125368959, 2.2730650564229933
PRETORIA, -30.594259122777224, 24.18624211242921
RABAT, 31.60032937351167, -6.515996951913963
REYKJAVIK, 65.02963502268696, -18.54626523448756
RIYADH, 23.634228855814285, 45.44673964936339
ROME, 42.99801342093092, 12.079921835285777
SANA'A, 15.903542097524346, 47.62190124653392
SANTIAGO, -26.802128022565597, -70.71712427326355
SEOUL, 36.4901943149473, 127.70004797612307
STOCKHOLM, 64.57420236897424, 16.91787622422318
TEHRAN, 32.08549851458258, 54.258814806794184
TOKYO, 37.015116095758046, 138.58985069935744
TRIPOLI, 26.90316312901154, 17.39099324693043
TUNIS, 34.068144192908335, 9.92306238210101
ULAANBAATAR, 46.753994128556045, 103.05473710522885
WASHINGTON, 39.94400297447158, -80.74848019129375
BUENOS AIRES, OTTAWA, 900, 780
SANTIAGO, KHARTOUM, 1200, 1020
BRASÍLIA, CAIRO, 1000, 960
STOCKHOLM, NIAMEY, 800, 600
MADRID, MOGADISHU, 950, 720
LISBON, RABAT, 250, 120
CAIRO, TEHRAN, 700, 300
WASHINGTON, PRETORIA, 1300, 1080
MOSCOW, BUENOS AIRES, 1500, 1200
BAGHDAD, CANBERRA, 2000, 1200
ALGIERS, BEIJING, 1100, 840
BEIJING, BAGHDAD, 800, 480
TEHRAN, PARIS, 600, 300
KYIV, MOGADISHU, 1000, 780
ANKARA, BRASÍLIA, 1200, 1020
HELSINKI, TOKYO, 1400, 660
JAKARTA, LISBON, 1300, 1080
KUALA LUMPUR, MADRID, 1200, 960
ADDIS ABABA, ANKARA, 600, 300
TRIPOLI, CANBERRA, 1900, 1380
SEOUL, PARIS, 900, 780
TOKYO, BUENOS AIRES, 1400, 1200
ULAANBAATAR, BAGHDAD, 1000, 600
ROME, MADRID, 300, 150
LONDON, MADRID, 250, 135
NUUK, MADRID, 1100, 600
NEW DELHI, BRASÍLIA, 1400, 1200
RIYADH, NUUK, 1000, 900
ISLAMABAD, ANKARA, 600, 240
NIAMEY, JERUSALEM, 500, 360
KHARTOUM, BAGHDAD, 800, 420
BAMAKO, NEW DELHI, 1200, 1080
NOUAKCHOTT, LIMA, 1300, 900
JERUSALEM, KUALA LUMPUR, 1400, 780
AMMAN, CAIRO, 400, 120
SANA'A, TRIPOLI, 700, 360
MUSCAT, BEIJING, 1200, 720
OTTAWA, AMMAN, 1000, 780
PARIS, NEW DELHI, 800, 510
RABAT, SANTIAGO, 1100, 720
DAMASCUS, CANBERRA, 1500, 1140
TUNIS, NUUK, 1000, 480
MOGADISHU, DAMASCUS, 700, 240
LIMA, TRIPOLI, 1300, 780
BUENOS AIRES, SEOUL, 1400, 1020
SANTIAGO, JAKARTA, 1500, 960
BRASÍLIA, TOKYO, 1400, 1050
OSLO, ADDIS ABABA, 1200, 720
STOCKHOLM, HELSINKI, 200, 90
MADRID, RABAT, 150, 90
LISBON, MADRID, 100, 60
CAIRO, DAMASCUS, 400, 180
WASHINGTON, SEOUL, 1400, 900
MOSCOW, JAKARTA, 1300, 720
BAGHDAD, ALGIERS, 500, 270
ALGIERS, CAIRO, 300, 180
BEIJING, SEOUL, 400, 120
TEHRAN, KUALA LUMPUR, 900, 420
KYIV, ALMATY, 600, 300
ANKARA, NIAMEY, 800, 480
HELSINKI, RABAT, 1000, 540
JAKARTA, ADDIS ABABA, 1200, 600
KUALA LUMPUR, PRETORIA, 1400, 840
TRIPOLI, SEOUL, 1500, 960
SEOUL, TOKYO, 300, 120
TOKYO, LIMA, 1600, 1020
ULAANBAATAR, TRIPOLI, 1400, 900
ROME, SEOUL, 1200, 720
LONDON, SEOUL, 1300, 750
NUUK, SEOUL, 1500, 1020
NEW DELHI, JAKARTA, 600, 300
RIYADH, AMMAN, 300, 150
ISLAMABAD, TUNIS, 1200, 600
NIAMEY, MOGADISHU, 800, 420
KHARTOUM, TRIPOLI, 700, 300
BAMAKO, NIAMEY, 300, 180
NOUAKCHOTT, ALGIERS, 200, 120
JERUSALEM, ISLAMABAD, 1000, 600
AMMAN, NIAMEY, 900, 480
SANA'A, MOGADISHU, 400, 180
MUSCAT, RIYADH, 400, 240
OTTAWA, NEW DELHI, 1400, 900
PARIS, TOKYO, 1200, 720
RABAT, DAMASCUS, 800, 360
DAMASCUS, HELSINKI, 1000, 600
TUNIS, ANKARA, 600, 300
MOGADISHU, ALGIERS, 1200, 720
LIMA, TOKYO, 1800, 1080
LIMA, SEOUL, 1700, 1020
BUENOS AIRES, JAKARTA, 1600, 900
BUENOS AIRES, SEOUL, 1500, 780
SANTIAGO, BRASÍLIA, 400, 240
SANTIAGO, CAIRO, 1500, 840
BRASÍLIA, TOKYO, 1700, 900
OSLO, BUENOS AIRES, 1400, 720
STOCKHOLM, BRASÍLIA, 1600, 960
MADRID, CAIRO, 1100, 660
LISBON, MADRID, 150, 60
CAIRO, WASHINGTON, 1300, 780
WASHINGTON, SEOUL, 1700, 1080
MOSCOW, SANTIAGO, 1800, 1020
BAGHDAD, SEOUL, 1200, 840
ALGIERS, TEHRAN, 800, 360
BEIJING, ALGIERS, 1400, 780
TEHRAN, MOSCOW, 400, 180
KYIV, ANKARA, 400, 180
ANKARA, JAKARTA, 1100, 600
HELSINKI, SEOUL, 1200, 720
JAKARTA, ALGIERS, 1300, 780
KUALA LUMPUR, BRASÍLIA, 1400, 780
ADDIS ABABA, JERUSALEM, 800, 420
TRIPOLI, SEOUL, 1500, 840
SEOUL, BEIJING, 400, 180
TOKYO, ALGIERS, 1600, 900
ULAANBAATAR, SEOUL, 700, 360
ROME, SEOUL, 1400, 750
LONDON, SEOUL, 1300, 750
NUUK, SEOUL, 1700, 1080
NEW DELHI, SEOUL, 1000, 600
RIYADH, SEOUL, 1200, 720
ISLAMABAD, SEOUL, 1100, 690
NIAMEY, SEOUL, 1400, 840
KHARTOUM, SEOUL, 1200, 750
BAMAKO, SEOUL, 1300, 840
NOUAKCHOTT, SEOUL, 1700, 1080
JERUSALEM, SEOUL, 1200, 720
AMMAN, SEOUL, 1000, 600
SANA'A, SEOUL, 1300, 840
MUSCAT, SEOUL, 1400, 720
OTTAWA, SEOUL, 1700, 1020
PARIS, SEOUL, 1300, 750
RABAT, SEOUL, 1400, 840
DAMASCUS, SEOUL, 1500, 900
TUNIS, SEOUL, 1400, 780
MOGADISHU, SEOUL, 1600, 960
CANBERRA, SEOUL, 1500, 900
REYKJAVIK, SEOUL, 1400, 780
PRETORIA, SEOUL, 1600, 960
ANTANANARIVO, SEOUL, 1800, 1080
LIMA, HELSINKI, 1500, 780
BUENOS AIRES, HELSINKI, 1600, 840
SANTIAGO, HELSINKI, 1400, 720
BRASÍLIA, HELSINKI, 1700, 900
OSLO, HELSINKI, 200, 60
STOCKHOLM, HELSINKI, 100, 45
MADRID, HELSINKI, 1100, 660
LISBON, HELSINKI, 1200, 720
CAIRO, HELSINKI, 1300, 840
WASHINGTON, HELSINKI, 1500, 960
MOSCOW, HELSINKI, 400, 180
BAGHDAD, HELSINKI, 900, 480
ALGIERS, HELSINKI, 1200, 720
BEIJING, HELSINKI, 1600, 900
TEHRAN, HELSINKI, 1000, 600
KYIV, HELSINKI, 400, 180
ANKARA, HELSINKI, 800, 420
JAKARTA, HELSINKI, 1500, 900
KUALA LUMPUR, HELSINKI, 1400, 840
ADDIS ABABA, HELSINKI, 1300, 780
TRIPOLI, HELSINKI, 1400, 840
SEOUL, HELSINKI, 1400, 840
TOKYO, HELSINKI, 1600, 900
ULAANBAATAR, HELSINKI, 1500, 720
ROME, HELSINKI, 1400, 780
LONDON, HELSINKI, 1300, 720
NUUK, HELSINKI, 1400, 780
NEW DELHI, HELSINKI, 1300, 690
RIYADH, HELSINKI, 900, 600
ISLAMABAD, HELSINKI, 970, 660
NIAMEY, HELSINKI, 1000, 480
KHARTOUM, HELSINKI, 1200, 700
BAMAKO, HELSINKI, 800, 240
NOUAKCHOTT, HELSINKI, 1100, 420
JERUSALEM, HELSINKI, 400, 525
AMMAN, HELSINKI, 900, 570
SANA'A, HELSINKI, 1100, 1220
MUSCAT, HELSINKI, 750, 660
OTTAWA, HELSINKI, 1050, 900
PARIS, HELSINKI, 200, 180
RABAT, HELSINKI, 400, 540
DAMASCUS, HELSINKI, 600, 320
TUNIS, HELSINKI, 500, 280
MOGADISHU, HELSINKI, 800, 450
CANBERRA, HELSINKI, 1300, 900
REYKJAVIK, HELSINKI, 400, 240
PRETORIA, HELSINKI, 800, 700
ANTANANARIVO, HELSINKI, 800, 350
LIMA, CANBERRA, 1200, 1300
BUENOS AIRES, CANBERRA, 1800, 1400
SANTIAGO, CANBERRA, 1700, 1300
BRASÍLIA, CANBERRA, 1700, 1320
OSLO, CANBERRA, 1200, 1350
STOCKHOLM, CANBERRA, 1500, 1200
MADRID, CANBERRA, 1600, 1100
LISBON, CANBERRA, 1400, 1100
CAIRO, CANBERRA, 1200, 1000
WASHINGTON, CANBERRA, 1500, 1350
MOSCOW, CANBERRA, 1200, 1300
BAGHDAD, CANBERRA, 1100, 1200
ALGIERS, CANBERRA, 1100, 1200
BEIJING, CANBERRA, 700, 900
TEHRAN, CANBERRA, 900, 1200
KYIV, CANBERRA, 1200, 1300
ANKARA, CANBERRA, 1000, 1100
HELSINKI, CANBERRA, 1200, 1200
JAKARTA, CANBERRA, 300, 600
KUALA LUMPUR, CANBERRA, 300, 600
ADDIS ABABA, CANBERRA, 1200, 1300
TRIPOLI, CANBERRA, 1100, 1200
SEOUL, CANBERRA, 600, 1000
TOKYO, CANBERRA, 600, 1000
ULAANBAATAR, CANBERRA, 900, 1200
ROME, CANBERRA, 1200, 1200
LONDON, CANBERRA, 1200, 1200
NUUK, CANBERRA, 1500, 1500
NEW DELHI, CANBERRA, 700, 1100
RIYADH, CANBERRA, 800, 1200
ISLAMABAD, CANBERRA, 900, 1200
NIAMEY, CANBERRA, 1100, 1200
KHARTOUM, CANBERRA, 1100, 1200
BAMAKO, CANBERRA, 1200, 1300
NOUAKCHOTT, CANBERRA, 1200, 1300
JERUSALEM, CANBERRA, 1100, 1200
AMMAN, CANBERRA, 1100, 1200
SANA'A, CANBERRA, 1100, 1200
MUSCAT, CANBERRA, 1000, 1100
OTTAWA, CANBERRA, 1400, 1500
PARIS, CANBERRA, 1200, 1200
RABAT, CANBERRA, 1100, 1200
DAMASCUS, CANBERRA, 1200, 1300
TUNIS, CANBERRA, 1100, 1200
MOGADISHU, CANBERRA, 1200, 1300
